id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"100402","Captain America: The Winter Soldier","7.8","2014","In heroes we trust.","170000000","714766572","Action|Adventure|Science Fiction"
"15709","Changing Sides","5.4","2008",,,,"Comedy"
"44678","Altitude","5.0","2010","Don't Look Down.",,,"Action|Horror|Science Fiction|Thriller"
"10040","Miss Congeniality 2: Armed and Fabulous","5.6","2005","You might feel a little prick",,"101393569","Action|Comedy"
"44683","Tinker Bell and the Great Fairy Rescue","6.1","2010","An Adventure With a Touch of Magic...",,,"Adventure|Animation|Family|Fantasy"
"10045","District B13","6.8","2004","Welcome to District B13. Welcome to the future","12000000","9584131","Action|Science Fiction|Thriller"
"157115","Jug Face","5.4","2013","The pit wants what it wants",,,"Drama|Horror|Thriller"
"10047","The Messenger: The Story of Joan of Arc","6.2","1999",,"85000000","66976317","Action|Adventure|Drama|History|War"
"44716","In a Better World","7.5","2010","When We Are Pushed To The Edge We Discover The Line Between Justice And Revenge","15000000","13004198","Drama|Family|Foreign"
"10048","Stealth","5.2","2005","Fear The Sky","135000000","76932943","Action"
"157117","Sound City","7.7","2013","That board. That room. That is Sound City.",,,"Documentary|Music"
"44718","Get Low","7.4","2009","Every secret dies somewhere.","700000","10522511","Comedy|Drama|Indie|Mystery"
"10049","Attack Force","6.9","2006",,,,"Action|Thriller"
"15712","Welcome","7.0","2009",,,,"Drama|Romance"
"10050","Get Over It","5.8","2001","Young, Free And Single. Again.","22000000","19900366","Comedy|Romance"
"1571","Live Free or Die Hard","6.3","2007","Yippee-ki-yay, motherfucker.","110000000","383531464","Action|Thriller"
"100529","Lola Versus","4.9","2012","Lola vs. Sex, Love, Lola, The World.",,"252603","Comedy"
"44737","Babies","7.7","2010","Everybody loves...",,,"Documentary"
"10052","Dragonfly","6.4","2002","When someone you love dies... are they gone forever?","60000000","52322400","Drama"
"1572","Die Hard: With a Vengeance","6.5","1995","Think fast. Look alive. Die hard.","90000000","366101666","Action|Thriller"
"4474","My Super Ex-Girlfriend","5.3","2006","Hell hath no fury like a superwoman scorned.",,"61108981","Action|Comedy|Crime|Drama|Fantasy|Science Fiction"
"10053","When a Stranger Calls","5.6","2006","Evil Hits Home","15000000","67062123","Horror|Thriller"
"44754","Margaret","6.0","2011",,"14000000","46495","Drama"
"10054","Spy Kids","5.3","2001","Real spies...Only smaller","35000000","147900000","Action|Adventure|Comedy|Family"
"157350","Divergent","7.0","2014","What makes you different makes you dangerous.","85000000","288885818","Action"
"10057","The Three Musketeers","6.2","1993","They're Scoundrels, Playboys, Outlaws . . . The Greatest Heroes Who Ever Lived.","30000000","53898845","Action|Adventure|Comedy"
"4475","The Private Lives of Pippa Lee","6.4","2009","She lived many lives - except her own.",,"2800000","Comedy|Drama|Romance"
"10060","Get Rich or Die Tryin'","7.0","2005","If You Think You Know the Story...You Don't Know the Man.","40000000","46442528","Action|Adventure|Crime|Drama|Musical"
"157353","Transcendence","6.0","2014","Yesterday, Dr. Will Caster was only human...","100000000","103039258","Drama|Mystery|Science Fiction|Thriller"
"10061","Escape from L.A.","6.0","1996","Snake Is Back.","50000000","42277365","Action|Adventure|Science Fiction|Thriller"
